row_id,timestamp,consensus,node_count,network_latency_ms,tx_throughput_tps,energy_joules_per_min,security_risk_score,vehicle_count,vehicle_count_variability,fault_tolerance_requirement,notes
37,2025-10-23T07:17:18.854419,PoS,3,123.08,496.76,156635.97,0.1988,223,10.39,0.4662,
38,2025-10-23T07:17:18.854419,Raft,6,86.15,1250.85,354643.91,0.1896,223,10.39,0.5989,
39,2025-10-23T07:17:18.854419,PBFT,6,188.73,1.0,494.04,0.2463,223,10.39,0.7943,
40,2025-10-23T07:17:18.854419,HotStuff,5,94.69,281.39,100931.29,0.183,223,10.39,0.7666,
41,2025-10-23T07:18:18.854419,PoW,8,416.54,1.0,8666.66,0.0982,187,4.82,0.4015,
42,2025-10-23T07:18:18.854419,PoS,3,47.19,1.0,343.07,0.1757,187,4.82,0.4269,
43,2025-10-23T07:18:18.854419,Raft,6,46.39,247.68,63228.09,0.149,187,4.82,0.6127,
44,2025-10-23T07:18:18.854419,PBFT,5,159.97,318.95,205334.36,0.1805,187,4.82,0.7361,
45,2025-10-23T07:18:18.854419,HotStuff,6,74.04,2320.36,1219892.04,0.1387,187,4.82,0.7527,
46,2025-10-23T07:19:18.854419,PoW,7,270.09,1.0,7153.15,0.1654,278,12.12,0.4728,
47,2025-10-23T07:19:18.854419,PoS,4,172.47,1.0,253.13,0.2406,278,12.12,0.4584,
48,2025-10-23T07:19:18.854419,Raft,5,32.08,174.51,28989.5,0.1971,278,12.12,0.6157,
49,2025-10-23T07:19:18.854419,PBFT,5,151.12,1.0,659.52,0.2512,278,12.12,0.7685,
50,2025-10-23T07:19:18.854419,HotStuff,6,29.94,781.3,403426.39,0.2001,278,12.12,0.787,
51,2025-10-23T07:20:18.854419,PoW,7,360.2,48.97,347370.73,0.2806,274,26.33,0.4338,
52,2025-10-23T07:20:18.854419,PoS,4,61.29,49.97,19609.31,0.3632,274,26.33,0.4762,
53,2025-10-23T07:20:18.854419,Raft,5,18.15,546.96,82766.48,0.2846,274,26.33,0.6536,
54,2025-10-23T07:20:18.854419,PBFT,5,192.52,1.0,663.47,0.3309,274,26.33,0.8242,node_join
55,2025-10-23T07:20:18.854419,HotStuff,6,46.04,201.47,62311.57,0.3229,274,26.33,0.8224,
56,2025-10-23T07:21:18.854419,PoW,7,342.0,47.21,335493.6,0.0902,192,3.21,0.3494,
57,2025-10-23T07:21:18.854419,PoS,3,72.59,667.19,220322.41,0.2073,192,3.21,0.463,
58,2025-10-23T07:21:18.854419,Raft,4,39.88,1.0,182.53,0.1127,192,3.21,0.5506,
59,2025-10-23T07:21:18.854419,PBFT,6,295.72,100.26,60859.75,0.1961,192,3.21,0.768,
60,2025-10-23T07:21:18.854419,HotStuff,6,31.08,1.0,531.74,0.0833,192,3.21,0.7447,
61,2025-10-23T07:22:18.854419,PoW,8,290.63,17.76,160586.71,0.1203,193,7.31,0.3865,
62,2025-10-23T07:22:18.854419,PoS,3,103.8,269.72,84242.7,0.1451,193,7.31,0.433,
63,2025-10-23T07:22:18.854419,Raft,4,44.03,1.0,167.4,0.1636,193,7.31,0.5696,
64,2025-10-23T07:22:18.854419,PBFT,7,208.05,89.48,54022.75,0.1812,193,7.31,0.7453,
65,2025-10-23T07:22:18.854419,HotStuff,7,101.83,1401.27,694152.42,0.0941,193,7.31,0.7209,
66,2025-10-23T07:23:18.854419,PoW,9,442.32,18.46,206556.69,0.1,230,3.05,0.3978,
67,2025-10-23T07:23:18.854419,PoS,3,99.19,246.6,87881.6,0.1618,230,3.05,0.428,
68,2025-10-23T07:23:18.854419,Raft,4,75.87,1.0,151.43,0.1247,230,3.05,0.6169,
69,2025-10-23T07:23:18.854419,PBFT,7,206.44,369.31,270630.45,0.1348,230,3.05,0.7693,
70,2025-10-23T07:23:18.854419,HotStuff,7,82.14,1378.95,583847.26,0.0999,230,3.05,0.729,
71,2025-10-23T07:24:18.854419,PoW,9,406.2,43.11,443865.95,0.1596,238,12.84,0.4059,
72,2025-10-23T07:24:18.854419,PoS,3,109.89,344.03,129325.53,0.231,238,12.84,0.4944,
73,2025-10-23T07:24:18.854419,Raft,4,25.12,1.0,268.25,0.2083,238,12.84,0.5876,
74,2025-10-23T07:24:18.854419,PBFT,6,353.83,119.64,84147.44,0.2269,238,12.84,0.7851,
75,2025-10-23T07:24:18.854419,HotStuff,7,157.63,2289.95,719817.84,0.1842,238,12.84,0.7947,
76,2025-10-23T07:25:18.854419,PoW,8,340.46,1.0,10087.62,0.214,163,22.94,0.4009,
77,2025-10-23T07:25:18.854419,PoS,3,119.32,39.87,10712.13,0.2496,163,22.94,0.4464,
78,2025-10-23T07:25:18.854419,Raft,3,50.66,1416.33,283311.41,0.335,163,22.94,0.6343,
79,2025-10-23T07:25:18.854419,PBFT,6,167.64,181.79,102385.51,0.3229,163,22.94,0.7786,
80,2025-10-23T07:25:18.854419,HotStuff,7,45.97,17.99,3502.3,0.2835,163,22.94,0.7462,
81,2025-10-23T07:26:18.854419,PoW,8,191.76,1.0,11262.44,0.1251,203,5.57,0.3856,
82,2025-10-23T07:26:18.854419,PoS,3,104.21,1.0,266.76,0.1788,203,5.57,0.4431,
83,2025-10-23T07:26:18.854419,Raft,3,54.5,1.0,250.45,0.1511,203,5.57,0.5609,
84,2025-10-23T07:26:18.854419,PBFT,5,224.75,1.0,493.78,0.1534,203,5.57,0.7588,
85,2025-10-23T07:26:18.854419,HotStuff,7,43.52,1.0,414.35,0.1175,203,5.57,0.7538,
86,2025-10-23T07:27:18.854419,PoW,8,394.83,1.0,7890.57,0.1669,213,16.55,0.4375,
87,2025-10-23T07:27:18.854419,PoS,3,126.64,129.14,31206.56,0.2563,213,16.55,0.4399,
88,2025-10-23T07:27:18.854419,Raft,3,41.9,867.9,226737.14,0.2657,213,16.55,0.6426,attack_detected
89,2025-10-23T07:27:18.854419,PBFT,5,31.22,1.0,631.61,0.2761,213,16.55,0.7703,
90,2025-10-23T07:27:18.854419,HotStuff,7,36.46,1.0,345.54,0.1932,213,16.55,0.8232,
91,2025-10-23T07:28:18.854419,PoW,8,280.92,1.0,12920.09,0.1126,229,2.77,0.3955,
92,2025-10-23T07:28:18.854419,PoS,3,139.75,1.0,314.94,0.1548,229,2.77,0.4517,
93,2025-10-23T07:28:18.854419,Raft,3,48.54,1.0,239.2,0.1257,229,2.77,0.5568,
94,2025-10-23T07:28:18.854419,PBFT,4,192.57,257.32,180087.09,0.1608,229,2.77,0.7208,attack_detected
95,2025-10-23T07:28:18.854419,HotStuff,7,91.66,686.55,230696.77,0.1058,229,2.77,0.7612,
96,2025-10-23T07:29:18.854419,PoW,8,493.03,15.52,118986.52,0.0832,215,1.0,0.3884,
97,2025-10-23T07:29:18.854419,PoS,3,163.84,59.35,22456.36,0.1486,215,1.0,0.3979,
98,2025-10-23T07:29:18.854419,Raft,3,65.07,263.29,61141.51,0.154,215,1.0,0.5819,
99,2025-10-23T07:29:18.854419,PBFT,4,145.82,548.4,301353.75,0.1211,215,1.0,0.721,
100,2025-10-23T07:29:18.854419,HotStuff,7,28.62,341.97,166520.17,0.1118,215,1.0,0.7423,
101,2025-10-23T07:30:18.854419,PoW,8,240.92,28.19,307202.93,0.1334,213,10.12,0.402,
102,2025-10-23T07:30:18.854419,PoS,3,90.76,1.0,354.02,0.1843,213,10.12,0.4473,
103,2025-10-23T07:30:18.854419,Raft,4,47.74,335.55,118825.63,0.1687,213,10.12,0.5855,
104,2025-10-23T07:30:18.854419,PBFT,4,181.03,304.04,166243.17,0.1934,213,10.12,0.746,
105,2025-10-23T07:30:18.854419,HotStuff,7,89.52,1.0,436.53,0.2104,213,10.12,0.7651,
106,2025-10-23T07:31:18.854419,PoW,7,460.29,35.36,358691.56,0.1995,200,15.66,0.44,
107,2025-10-23T07:31:18.854419,PoS,3,174.36,514.25,145279.79,0.2694,200,15.66,0.4445,
108,2025-10-23T07:31:18.854419,Raft,4,56.31,257.84,64336.6,0.1981,200,15.66,0.6144,
109,2025-10-23T07:31:18.854419,PBFT,4,219.8,6.75,4728.43,0.2634,200,15.66,0.7846,
110,2025-10-23T07:31:18.854419,HotStuff,6,91.84,1.0,434.3,0.2071,200,15.66,0.7581,
111,2025-10-23T07:32:18.854419,PoW,6,296.7,92.16,759297.24,0.2104,250,22.85,0.3992,
112,2025-10-23T07:32:18.854419,PoS,3,139.46,1.0,289.3,0.2772,250,22.85,0.4906,
113,2025-10-23T07:32:18.854419,Raft,4,68.31,1358.74,219935.12,0.2819,250,22.85,0.6394,
114,2025-10-23T07:32:18.854419,PBFT,4,152.6,1.0,645.58,0.3296,250,22.85,0.818,
115,2025-10-23T07:32:18.854419,HotStuff,6,96.99,1216.66,517479.7,0.2574,250,22.85,0.826,
116,2025-10-23T07:33:18.854419,PoW,6,324.3,17.79,158706.95,0.2585,194,27.01,0.4086,
117,2025-10-23T07:33:18.854419,PoS,4,82.15,1.0,358.96,0.3168,194,27.01,0.4729,
118,2025-10-23T07:33:18.854419,Raft,5,43.04,1421.23,339803.34,0.3203,194,27.01,0.594,
119,2025-10-23T07:33:18.854419,PBFT,4,134.3,1.0,800.85,0.3447,194,27.01,0.8137,
120,2025-10-23T07:33:18.854419,HotStuff,7,131.01,411.56,194509.0,0.3078,194,27.01,0.8138,
121,2025-10-23T07:34:18.854419,PoW,6,518.34,74.54,821721.55,0.1181,246,8.03,0.4049,
122,2025-10-23T07:34:18.854419,PoS,3,116.36,276.52,93117.35,0.2188,246,8.03,0.4636,
123,2025-10-23T07:34:18.854419,Raft,5,59.37,652.77,133985.85,0.1722,246,8.03,0.6138,
124,2025-10-23T07:34:18.854419,PBFT,4,148.37,1.0,672.15,0.2379,246,8.03,0.7714,
125,2025-10-23T07:34:18.854419,HotStuff,7,114.7,130.4,51775.75,0.1746,246,8.03,0.7992,
126,2025-10-23T07:35:18.854419,PoW,5,385.55,1.0,8464.0,0.1245,196,5.94,0.3991,
127,2025-10-23T07:35:18.854419,PoS,3,121.78,432.38,105478.38,0.1416,196,5.94,0.4449,
128,2025-10-23T07:35:18.854419,Raft,6,50.05,233.12,54701.33,0.1674,196,5.94,0.5796,attack_detected
129,2025-10-23T07:35:18.854419,PBFT,4,54.93,641.08,354347.1,0.1811,196,5.94,0.7951,
130,2025-10-23T07:35:18.854419,HotStuff,7,89.76,1791.94,667441.39,0.1293,196,5.94,0.7472,
131,2025-10-23T07:36:18.854419,PoW,5,423.59,10.48,99169.26,0.0972,237,1.0,0.3486,
132,2025-10-23T07:36:18.854419,PoS,3,209.67,374.36,111170.88,0.1155,237,1.0,0.4603,
133,2025-10-23T07:36:18.854419,Raft,6,57.0,972.65,265325.42,0.1561,237,1.0,0.5931,
134,2025-10-23T07:36:18.854419,PBFT,5,194.78,460.86,285498.52,0.1807,237,1.0,0.7387,
135,2025-10-23T07:36:18.854419,HotStuff,6,74.45,265.21,113106.53,0.1238,237,1.0,0.7636,
136,2025-10-23T07:37:18.854419,PoW,5,451.92,29.1,236310.37,0.1734,208,14.46,0.4261,
137,2025-10-23T07:37:18.854419,PoS,3,114.14,1.0,355.2,0.2159,208,14.46,0.4033,
138,2025-10-23T07:37:18.854419,Raft,7,31.73,1808.32,495679.25,0.2353,208,14.46,0.6057,
139,2025-10-23T07:37:18.854419,PBFT,6,22.95,1.0,888.37,0.2834,208,14.46,0.7979,
140,2025-10-23T07:37:18.854419,HotStuff,6,98.68,1302.08,511826.28,0.1811,208,14.46,0.7603,
141,2025-10-23T07:38:18.854419,PoW,4,193.12,22.32,173282.22,0.0648,165,1.48,0.4013,
142,2025-10-23T07:38:18.854419,PoS,3,75.63,297.3,78337.45,0.1198,165,1.48,0.4153,
143,2025-10-23T07:38:18.854419,Raft,7,25.54,282.72,87129.03,0.1143,165,1.48,0.5587,
144,2025-10-23T07:38:18.854419,PBFT,7,188.73,139.81,78970.13,0.1237,165,1.48,0.7651,
145,2025-10-23T07:38:18.854419,HotStuff,7,19.5,1.0,412.9,0.0839,165,1.48,0.7338,
146,2025-10-23T07:39:18.854419,PoW,4,191.77,43.89,313705.73,0.3045,191,32.18,0.4566,
147,2025-10-23T07:39:18.854419,PoS,4,187.16,1.0,355.52,0.3613,191,32.18,0.5194,
148,2025-10-23T07:39:18.854419,Raft,7,93.98,795.67,193886.53,0.3458,191,32.18,0.6216,
149,2025-10-23T07:39:18.854419,PBFT,7,120.01,139.89,84517.25,0.404,191,32.18,0.8361,
150,2025-10-23T07:39:18.854419,HotStuff,6,5.0,1955.01,1053514.17,0.3167,191,32.18,0.8021,
151,2025-10-23T07:40:18.854419,PoW,4,374.04,13.28,90344.47,0.067,233,1.14,0.4214,
152,2025-10-23T07:40:18.854419,PoS,3,175.14,1.0,363.05,0.1755,233,1.14,0.4471,
153,2025-10-23T07:40:18.854419,Raft,8,65.99,417.27,140214.76,0.0934,233,1.14,0.548,
154,2025-10-23T07:40:18.854419,PBFT,6,52.2,1.0,818.03,0.149,233,1.14,0.7681,
155,2025-10-23T07:40:18.854419,HotStuff,7,76.02,1619.56,701511.5,0.0815,233,1.14,0.7609,
156,2025-10-23T07:41:18.854419,PoW,5,383.92,10.74,105520.0,0.1532,211,11.34,0.4345,
157,2025-10-23T07:41:18.854419,PoS,3,183.12,105.49,23396.63,0.1985,211,11.34,0.438,
158,2025-10-23T07:41:18.854419,Raft,8,69.78,241.55,56719.34,0.1719,211,11.34,0.5909,
159,2025-10-23T07:41:18.854419,PBFT,6,95.88,745.29,520368.97,0.2337,211,11.34,0.7656,
160,2025-10-23T07:41:18.854419,HotStuff,6,45.27,1.0,399.7,0.18,211,11.34,0.79,
161,2025-10-23T07:42:18.854419,PoW,6,62.65,1.0,5280.86,0.2421,245,22.27,0.4668,
162,2025-10-23T07:42:18.854419,PoS,3,75.39,1.0,206.42,0.2979,245,22.27,0.49,
163,2025-10-23T07:42:18.854419,Raft,9,60.74,1465.17,383668.8,0.2693,245,22.27,0.6121,
164,2025-10-23T07:42:18.854419,PBFT,7,190.95,1.0,800.16,0.3048,245,22.27,0.8212,
165,2025-10-23T07:42:18.854419,HotStuff,6,68.25,1195.83,637724.59,0.2689,245,22.27,0.8056,
166,2025-10-23T07:43:18.854419,PoW,7,373.29,34.39,406372.27,0.2341,256,23.42,0.4551,
167,2025-10-23T07:43:18.854419,PoS,3,60.1,521.03,124112.88,0.3311,256,23.42,0.5049,
168,2025-10-23T07:43:18.854419,Raft,10,90.74,1.0,270.06,0.3139,256,23.42,0.6565,
169,2025-10-23T07:43:18.854419,PBFT,6,235.54,1.0,663.92,0.358,256,23.42,0.8287,
170,2025-10-23T07:43:18.854419,HotStuff,6,102.56,1.0,254.92,0.3026,256,23.42,0.7899,
171,2025-10-23T07:44:18.854419,PoW,7,408.35,51.03,420314.08,0.0974,210,4.15,0.4334,
172,2025-10-23T07:44:18.854419,PoS,3,148.38,329.11,88296.21,0.1612,210,4.15,0.4173,
173,2025-10-23T07:44:18.854419,Raft,9,57.51,1523.32,520811.78,0.138,210,4.15,0.6354,
174,2025-10-23T07:44:18.854419,PBFT,5,186.56,338.92,265232.15,0.1704,210,4.15,0.7286,
175,2025-10-23T07:44:18.854419,HotStuff,7,56.51,1.0,556.18,0.0943,210,4.15,0.7492,
176,2025-10-23T07:45:18.854419,PoW,7,359.25,1.0,8404.68,0.1219,253,9.15,0.4084,
177,2025-10-23T07:45:18.854419,PoS,4,160.5,666.5,224524.52,0.1648,253,9.15,0.4048,
178,2025-10-23T07:45:18.854419,Raft,10,39.97,1.0,266.17,0.204,253,9.15,0.6519,
179,2025-10-23T07:45:18.854419,PBFT,6,341.33,372.32,256140.65,0.1968,253,9.15,0.7696,
180,2025-10-23T07:45:18.854419,HotStuff,7,64.25,1416.33,645166.91,0.1333,253,9.15,0.7567,
181,2025-10-23T07:46:18.854419,PoW,7,347.4,94.97,722645.76,0.2956,195,28.0,0.4693,
182,2025-10-23T07:46:18.854419,PoS,4,106.34,10.16,4716.98,0.3342,195,28.0,0.4569,
183,2025-10-23T07:46:18.854419,Raft,10,53.36,672.5,157060.77,0.3343,195,28.0,0.6286,
184,2025-10-23T07:46:18.854419,PBFT,6,62.65,130.44,101167.85,0.3519,195,28.0,0.814,
185,2025-10-23T07:46:18.854419,HotStuff,6,37.42,1473.01,548594.29,0.2816,195,28.0,0.7769,
186,2025-10-23T07:47:18.854419,PoW,7,465.51,73.51,573468.89,0.068,210,5.51,0.4101,
187,2025-10-23T07:47:18.854419,PoS,3,148.16,140.16,26659.01,0.18,210,5.51,0.4109,
188,2025-10-23T07:47:18.854419,Raft,10,62.42,817.36,182725.29,0.1294,210,5.51,0.5646,
189,2025-10-23T07:47:18.854419,PBFT,6,199.45,1.0,723.93,0.1876,210,5.51,0.7509,
190,2025-10-23T07:47:18.854419,HotStuff,7,43.42,1.0,467.94,0.0825,210,5.51,0.7166,
191,2025-10-23T07:48:18.854419,PoW,7,366.09,3.64,24704.91,0.2855,236,30.86,0.4438,
192,2025-10-23T07:48:18.854419,PoS,3,145.65,209.79,49932.09,0.3846,236,30.86,0.501,
193,2025-10-23T07:48:18.854419,Raft,9,93.91,569.08,162614.03,0.3492,236,30.86,0.6232,
194,2025-10-23T07:48:18.854419,PBFT,5,226.37,670.14,428860.02,0.3883,236,30.86,0.8407,
195,2025-10-23T07:48:18.854419,HotStuff,8,87.4,1.0,372.09,0.3019,236,30.86,0.8162,
196,2025-10-23T07:49:18.854419,PoW,7,400.92,8.35,56671.59,0.1839,279,16.01,0.4607,
197,2025-10-23T07:49:18.854419,PoS,4,215.0,291.21,88195.58,0.2549,279,16.01,0.4664,
198,2025-10-23T07:49:18.854419,Raft,10,89.44,1.0,362.32,0.1857,279,16.01,0.5993,
199,2025-10-23T07:49:18.854419,PBFT,4,256.98,1.0,705.21,0.2633,279,16.01,0.7875,
200,2025-10-23T07:49:18.854419,HotStuff,7,52.48,2631.79,1480266.81,0.2262,279,16.01,0.785,
201,2025-10-23T07:50:18.854419,PoW,6,250.61,1.0,7424.6,0.0843,230,1.0,0.3961,
202,2025-10-23T07:50:18.854419,PoS,4,150.2,385.25,136876.49,0.108,230,1.0,0.4048,
203,2025-10-23T07:50:18.854419,Raft,11,87.99,743.3,273692.25,0.1162,230,1.0,0.576,
204,2025-10-23T07:50:18.854419,PBFT,4,224.58,49.44,34254.56,0.1045,230,1.0,0.7543,
205,2025-10-23T07:50:18.854419,HotStuff,7,53.14,858.35,380356.96,0.1028,230,1.0,0.7417,
206,2025-10-23T07:51:18.854419,PoW,6,256.54,1.0,9918.92,0.1344,240,9.23,0.4113,
207,2025-10-23T07:51:18.854419,PoS,4,126.92,371.19,80382.51,0.2129,240,9.23,0.4861,
208,2025-10-23T07:51:18.854419,Raft,11,67.3,460.72,117222.69,0.1933,240,9.23,0.616,
209,2025-10-23T07:51:18.854419,PBFT,5,193.98,1.0,478.99,0.2241,240,9.23,0.8027,
210,2025-10-23T07:51:18.854419,HotStuff,8,81.61,2958.83,1738244.12,0.1571,240,9.23,0.7331,
211,2025-10-23T07:52:18.854419,PoW,6,598.59,10.27,94767.36,0.1519,211,12.65,0.4217,
212,2025-10-23T07:52:18.854419,PoS,4,82.61,1.0,259.05,0.1931,211,12.65,0.4385,
213,2025-10-23T07:52:18.854419,Raft,12,36.68,449.84,123903.7,0.2076,211,12.65,0.6313,
214,2025-10-23T07:52:18.854419,PBFT,4,40.93,61.15,35584.55,0.2348,211,12.65,0.7567,
215,2025-10-23T07:52:18.854419,HotStuff,8,116.58,3080.11,953804.06,0.1474,211,12.65,0.7247,
216,2025-10-23T07:53:18.854419,PoW,6,175.8,1.0,11417.35,0.1221,226,7.63,0.394,
217,2025-10-23T07:53:18.854419,PoS,4,29.31,69.19,20335.57,0.1765,226,7.63,0.4252,
218,2025-10-23T07:53:18.854419,Raft,12,83.2,1.0,305.82,0.1752,226,7.63,0.6024,
219,2025-10-23T07:53:18.854419,PBFT,3,215.45,1.0,482.81,0.2004,226,7.63,0.7612,
220,2025-10-23T07:53:18.854419,HotStuff,8,52.82,1.0,391.99,0.1675,226,7.63,0.7481,
221,2025-10-23T07:54:18.854419,PoW,6,299.5,1.0,9148.94,0.1432,247,6.41,0.4174,
222,2025-10-23T07:54:18.854419,PoS,4,146.91,90.28,26991.54,0.1974,247,6.41,0.4154,
223,2025-10-23T07:54:18.854419,Raft,12,117.03,1.0,242.37,0.1451,247,6.41,0.6085,
224,2025-10-23T07:54:18.854419,PBFT,4,264.75,1.0,419.58,0.2106,247,6.41,0.8049,
225,2025-10-23T07:54:18.854419,HotStuff,10,26.16,428.97,162233.21,0.1252,247,6.41,0.7567,
226,2025-10-23T07:55:18.854419,PoW,6,302.69,8.0,68958.02,0.0893,235,1.0,0.3979,
227,2025-10-23T07:55:18.854419,PoS,4,157.11,515.02,156605.24,0.0966,235,1.0,0.3934,
228,2025-10-23T07:55:18.854419,Raft,12,40.22,2672.47,968201.66,0.072,235,1.0,0.5577,
229,2025-10-23T07:55:18.854419,PBFT,4,105.26,50.42,22545.19,0.1265,235,1.0,0.7497,
230,2025-10-23T07:55:18.854419,HotStuff,10,160.08,1.0,625.67,0.0697,235,1.0,0.7479,
231,2025-10-23T07:56:18.854419,PoW,5,608.67,10.64,101517.75,0.089,205,1.59,0.3899,
232,2025-10-23T07:56:18.854419,PoS,3,127.99,303.49,94066.05,0.1552,205,1.59,0.4265,
233,2025-10-23T07:56:18.854419,Raft,13,34.5,1.0,315.52,0.07,205,1.59,0.6248,
234,2025-10-23T07:56:18.854419,PBFT,3,216.66,65.66,43014.9,0.1638,205,1.59,0.7519,
235,2025-10-23T07:56:18.854419,HotStuff,9,69.06,121.05,44382.98,0.11,205,1.59,0.7479,
236,2025-10-23T07:57:18.854419,PoW,5,470.55,1.0,5574.7,0.1027,218,5.83,0.4217,
237,2025-10-23T07:57:18.854419,PoS,3,166.1,327.33,85278.37,0.1826,218,5.83,0.4535,
238,2025-10-23T07:57:18.854419,Raft,13,119.08,831.68,246130.67,0.1434,218,5.83,0.5717,
239,2025-10-23T07:57:18.854419,PBFT,3,110.01,1.0,420.72,0.1866,218,5.83,0.7433,
240,2025-10-23T07:57:18.854419,HotStuff,10,118.51,1.0,341.71,0.1456,218,5.83,0.7534,
241,2025-10-23T07:58:18.854419,PoW,5,391.5,11.94,105812.35,0.2341,211,30.06,0.4461,
242,2025-10-23T07:58:18.854419,PoS,3,206.52,156.64,48463.04,0.37,211,30.06,0.5033,
243,2025-10-23T07:58:18.854419,Raft,12,131.63,764.95,203323.65,0.3266,211,30.06,0.632,
244,2025-10-23T07:58:18.854419,PBFT,4,127.31,1.0,599.57,0.3739,211,30.06,0.8175,
245,2025-10-23T07:58:18.854419,HotStuff,10,106.68,1.0,295.88,0.3049,211,30.06,0.8212,
246,2025-10-23T07:59:18.854419,PoW,5,432.62,22.12,172763.31,0.049,227,2.9,0.3874,
247,2025-10-23T07:59:18.854419,PoS,3,190.95,393.17,117421.57,0.1309,227,2.9,0.4183,
248,2025-10-23T07:59:18.854419,Raft,12,104.08,209.67,68376.29,0.0944,227,2.9,0.5278,
249,2025-10-23T07:59:18.854419,PBFT,4,113.77,1.0,624.19,0.1698,227,2.9,0.7623,
250,2025-10-23T07:59:18.854419,HotStuff,9,93.0,2029.94,902449.33,0.078,227,2.9,0.7552,
251,2025-10-23T08:00:18.854419,PoW,4,243.46,1.0,6463.11,0.1635,240,13.53,0.4391,
252,2025-10-23T08:00:18.854419,PoS,3,100.54,132.52,42149.7,0.2237,240,13.53,0.4352,
253,2025-10-23T08:00:18.854419,Raft,12,5.0,3411.57,1035301.64,0.2087,240,13.53,0.6216,
254,2025-10-23T08:00:18.854419,PBFT,3,93.46,312.81,192926.17,0.2617,240,13.53,0.7983,
